Method,DEMaP (mean),DEMaP (std),ARI,NMI,Trustworthiness,Continuity,Runtime (s)
PCA,0.8748,0.0053,0.1932,0.4246,0.9193,0.9251,0.0067
t-SNE,0.9120,0.0035,0.2800,0.5382,0.9404,0.9570,5.4398
UMAP,0.9012,0.0038,0.2633,0.5238,0.9287,0.9553,7.1807
PHATE,0.8848,0.0041,0.2371,0.4679,0.9326,0.9360,3.4008
HeatGeo,0.7602,0.0127,0.2166,0.4686,0.9259,0.9356,4.2867
DTNE,0.8861,0.0037,0.2625,0.4902,0.9257,0.9416,5.8203
EntroPath,0.9464,0.0019,0.1911,0.4371,0.9203,0.9395,7.9016
