Method,DEMaP (mean),DEMaP (std),ARI,NMI,Trustworthiness,Continuity,Runtime (s)
PCA,0.8782,0.0048,0.4389,0.6142,0.9067,0.9436,0.0009
t-SNE,0.7858,0.0081,0.5753,0.7019,0.9877,0.9829,6.1692
UMAP,0.9356,0.0037,0.5269,0.6724,0.9801,0.9835,11.0088
PHATE,0.9006,0.0053,0.4628,0.6201,0.9538,0.9731,4.3312
HeatGeo,0.8694,0.0048,0.4528,0.6277,0.9592,0.9750,9.1021
DTNE,0.9320,0.0037,0.4604,0.5931,0.9613,0.9689,10.5950
EntroPath,0.8955,0.0043,0.3756,0.5879,0.9579,0.9804,4.6071
