seed,method,M,quality,trust,seconds
50,fps,4000,0.9904094355857472,0.9968496174096174,50.87458495800092
50,kmeans,250,0.4675828271094838,0.9279199906399906,0.27380224999797065
50,kmeans,500,0.4688716641368686,0.9395213104013104,0.6637105410009099
50,kmeans,1000,0.5495169188846563,0.9149925073125071,2.9324257090011088
50,kmeans,2000,0.8996848921788239,0.9616294091494092,14.183985249997932
50,kmeans,3000,0.956942716630847,0.9880436831636832,33.86823720800021
50,kmeans,4000,0.9601261157899956,0.9908404633204634,64.455035125
50,random,250,0.48289979220682056,0.941712423072423,0.14167758400071762
50,random,500,0.45594348786269917,0.9353600655200655,0.4905484580012853
50,random,1000,0.5346065933408208,0.9348875348075348,2.845880708999175
50,random,2000,0.852681402547849,0.9461311430911431,11.076926541998546
50,random,3000,0.9294107796344278,0.9733793003393002,25.481067249998887
50,random,4000,0.9883066954483526,0.9964447221247222,55.2739327920026
51,full,5000,0.9881730269953,0.9965941172341172,82.14166629199826
51,fps,250,0.4899467545199247,0.9400851292851293,0.17686058300023433
51,fps,500,0.495055441357879,0.9375308669708668,0.6417626250004105
51,fps,1000,0.7136764144427393,0.9313402410202409,1.9934513330008485
51,fps,2000,0.9369102206609776,0.9786961694161694,7.635706124998251
51,fps,3000,0.9898654832211238,0.9954855458055458,17.271844292001333
51,fps,4000,0.9887554032146636,0.9963274599274601,54.92550599999959
51,kmeans,250,0.4631328909247613,0.9324905206505206,0.21879708299820777
51,kmeans,500,0.44961404574537606,0.9375574774774774,0.6443875420009135
51,kmeans,1000,0.6556817978578212,0.9282413104013103,2.985737291000987
51,kmeans,2000,0.9104816237236337,0.9712894723294722,12.347136915999727
51,kmeans,3000,0.9854322533918918,0.9947964338364339,24.616042499998002
51,kmeans,4000,0.9892357738804062,0.9960767333567334,42.281012958002975
51,random,250,0.48956843656578053,0.93288307008307,0.15194191699993098
51,random,500,0.46488624399889206,0.936689551889552,0.47442054100247333
51,random,1000,0.516525141787152,0.9384823025623026,2.6613675410008
51,random,2000,0.875014613165935,0.9581848133848133,11.458675041998504
51,random,3000,0.9830365238834493,0.9946625108225108,25.487790041999688
51,random,4000,0.9872565198398101,0.9962613127413127,40.6546438339974
