Method,DEMaP (mean),DEMaP (std),ARI,NMI,Trustworthiness,Continuity,Runtime (s)
PCA,0.9253,0.0075,0.5331,0.6399,0.9126,0.9664,0.0005
t-SNE,0.9058,0.0065,0.6927,0.7798,0.9845,0.9723,3.0575
UMAP,0.9190,0.0054,0.6448,0.7800,0.9632,0.9799,6.9076
PHATE,0.8902,0.0057,0.6045,0.7279,0.9325,0.9731,2.3721
HeatGeo,0.8617,0.0078,0.5366,0.6607,0.9317,0.9690,1.3799
DTNE,0.9064,0.0049,0.5652,0.7467,0.9299,0.9741,1.8801
EntroPath,0.9083,0.0067,0.5343,0.6871,0.9461,0.9701,3.9959
