Method,DEMaP (mean),DEMaP (std),ARI,NMI,Trustworthiness,Continuity,Runtime (s)
PCA,0.7404,0.0068,0.1414,0.2114,0.8091,0.9449,0.0168
t-SNE,0.6734,0.0064,0.2399,0.3492,0.9837,0.9732,29.1594
UMAP,0.5428,0.0072,0.1826,0.2854,0.9517,0.9741,17.4449
PHATE,0.7284,0.0059,0.1180,0.2075,0.9103,0.9737,6.6513
HeatGeo,0.7144,0.0056,0.2162,0.3240,0.8600,0.9609,281.6534
DTNE,0.7432,0.0056,0.1248,0.2131,0.8896,0.9711,12.7138
EntroPath,0.8230,0.0046,0.1270,0.2151,0.8774,0.9692,9.7797
