noise,seed,method,l1_spearman,l2_spearman
0.0,59,HeatGeo,0.7924710568655199,0.7532905146236782
0.0,59,DTNE,0.8270859495145471,0.8085896767174879
0.0,59,EntroPath,0.8721660377335816,0.8630806177773572
0.0,60,Euclidean,0.53686738882955,
0.0,60,Isomap,0.7953817582852989,0.7148007621490926
0.0,60,Shortest Path,0.7953817582852989,0.7630849082852237
0.0,60,Diffusion Maps,0.5116819529802439,0.9069306427470493
0.0,60,PHATE,0.783204110045263,0.7703327554843488
0.0,60,HeatGeo,0.7641098925018066,0.7100571161864717
0.0,60,DTNE,0.8150400480337767,0.8491666857610488
0.0,60,EntroPath,0.8894179053212794,0.9083953490499005
0.0,61,Euclidean,0.5342374537080854,
0.0,61,Isomap,0.8338730904003053,0.8061782069961408
0.0,61,Shortest Path,0.8338730904003053,0.8461983044945898
0.0,61,Diffusion Maps,0.47741666173026454,0.8940536971361057
0.0,61,PHATE,0.8029517256113042,0.8156729919794732
0.0,61,HeatGeo,0.7860878840861872,0.7808283480268664
0.0,61,DTNE,0.7966701502853529,0.8035909775999112
0.0,61,EntroPath,0.8490706714618571,0.8629044715293083
0.0,62,Euclidean,0.5256731719470847,
0.0,62,Isomap,0.8016473544452408,0.7268579272091001
0.0,62,Shortest Path,0.8016473544452408,0.747313068063311
0.0,62,Diffusion Maps,0.4887539771544932,0.9150737808431244
0.0,62,PHATE,0.8129807140417056,0.7971184579609626
0.0,62,HeatGeo,0.7864707930136241,0.7346728984251887
0.0,62,DTNE,0.86507283964655,0.8935393229219716
0.0,62,EntroPath,0.8887507909337553,0.9134603089375019
0.0,63,Euclidean,0.526869052833474,
0.0,63,Isomap,0.8255733579868013,0.7561784937431179
0.0,63,Shortest Path,0.8255733579868013,0.7790674491645224
0.0,63,Diffusion Maps,0.4846734255528665,0.9087612328559176
0.0,63,PHATE,0.8050933620902043,0.7780257951438182
0.0,63,HeatGeo,0.7903362431440948,0.7470880227103042
0.0,63,DTNE,0.8509775123748061,0.8499079011247366
