,DEMaP,DEMaP_std,Trust,Trust_std,Continuity,Continuity_std
t-SNE,0.7155025967975073,0.009217065110003997,0.9919680519305345,0.0006332432633901006,0.9859664171303322,0.0007626757293836303
UMAP,0.6898017244264248,0.013120531990699394,0.9938741713033216,0.000379635428459205,0.9909758671387623,0.0006527589191410694
PHATE,0.8861382028135537,0.0069660265699669184,0.9681241210588435,0.0012960557854650463,0.9904477663125948,0.0003131543379464861
DTNE,0.850283522556855,0.00887990411761589,0.9780296958354409,0.0012879868428039083,0.9937173525543754,0.0002871706021013651
EntroPath,0.8434722937634638,0.007714041658756653,0.9804536459281741,0.000836429304116468,0.9932363830719946,0.0002781652288101414
